,imdbid,metrics_x,actors,metrics_y,directors
0,tt0118578,actor1,govinda,director1,deepak sareen
1,tt0118578,actor2,aishwarya rai bachchan,director1,deepak sareen
2,tt0118578,actor3,jackie shroff,director1,deepak sareen
3,tt0118578,actor4,namrata shirodkar,director1,deepak sareen
4,tt0169102,actor1,aamir khan,director1,ashutosh gowariker
5,tt0169102,actor2,gracy singh,director1,ashutosh gowariker
6,tt0169102,actor3,rachel shelley,director1,ashutosh gowariker
7,tt0169102,actor4,paul blackthorne,director1,ashutosh gowariker
8,tt0187279,actor1,akshay kumar,director1,pankaj parashar
9,tt0187279,actor1,akshay kumar,director2,s.m. iqbal
10,tt0187279,actor2,sridevi,director1,pankaj parashar
11,tt0187279,actor2,sridevi,director2,s.m. iqbal
12,tt0187279,actor3,gulshan grover,director1,pankaj parashar
13,tt0187279,actor3,gulshan grover,director2,s.m. iqbal
14,tt0187279,actor4,laxmikant berde,director1,pankaj parashar
15,tt0187279,actor4,laxmikant berde,director2,s.m. iqbal
16,tt0222024,actor1,shah rukh khan,director1,k.s. adiyaman
17,tt0222024,actor2,madhuri dixit,director1,k.s. adiyaman
18,tt0222024,actor3,salman khan,director1,k.s. adiyaman
19,tt0222024,actor4,atul agnihotri,director1,k.s. adiyaman
20,tt0227194,actor1,shah rukh khan,director1,shashilal k. nair
21,tt0227194,actor2,juhi chawla,director1,shashilal k. nair
22,tt0227194,actor3,jackie shroff,director1,shashilal k. nair
23,tt0227194,actor4,nirmal pandey,director1,shashilal k. nair
24,tt0238936,actor1,shah rukh khan,director1,sanjay leela bhansali
25,tt0238936,actor2,madhuri dixit,director1,sanjay leela bhansali
26,tt0238936,actor3,aishwarya rai bachchan,director1,sanjay leela bhansali
27,tt0238936,actor4,jackie shroff,director1,sanjay leela bhansali
28,tt0247911,actor1,hrithik roshan,director1,vikram bhatt
29,tt0247911,actor2,ameesha patel,director1,vikram bhatt
30,tt0247911,actor3,kiran kumar,director1,vikram bhatt
31,tt0247911,actor4,mukesh tiwari,director1,vikram bhatt
32,tt0248126,actor1,amitabh bachchan,director1,karan johar
33,tt0248126,actor2,jaya bhaduri,director1,karan johar
34,tt0248126,actor3,shah rukh khan,director1,karan johar
35,tt0248126,actor4,kajol,director1,karan johar
36,tt0248216,actor1,saif ali khan,director1,arjun sablok
37,tt0248216,actor2,hrithik roshan,director1,arjun sablok
38,tt0248216,actor3,esha deol,director1,arjun sablok
39,tt0248216,actor4,alok nath,director1,arjun sablok
40,tt0248617,actor1,jackie shroff,director1,subhash ghai
41,tt0248617,actor2,hrithik roshan,director1,subhash ghai
42,tt0248617,actor3,kareena kapoor,director1,subhash ghai
43,tt0248617,actor4,amrish puri,director1,subhash ghai
44,tt0255713,actor1,karisma kapoor,director1,shyam benegal
45,tt0255713,actor2,rekha,director1,shyam benegal
46,tt0255713,actor3,manoj bajpayee,director1,shyam benegal
47,tt0255713,actor4,rajit kapoor,director1,shyam benegal
48,tt0256692,actor1,preity zinta,director1,abbas alibhai burmawalla
49,tt0256692,actor1,preity zinta,director2,mastan alibhai burmawalla
50,tt0256692,actor2,salman khan,director1,abbas alibhai burmawalla
51,tt0256692,actor2,salman khan,director2,mastan alibhai burmawalla
52,tt0256692,actor3,rani mukerji,director1,abbas alibhai burmawalla
53,tt0256692,actor3,rani mukerji,director2,mastan alibhai burmawalla
54,tt0256692,actor4,amrish puri,director1,abbas alibhai burmawalla
55,tt0256692,actor4,amrish puri,director2,mastan alibhai burmawalla
56,tt0265148,actor1,hrithik roshan,director1,sooraj r. barjatya
57,tt0265148,actor2,kareena kapoor,director1,sooraj r. barjatya
58,tt0265148,actor3,abhishek bachchan,director1,sooraj r. barjatya
59,tt0265148,actor4,johnny lever,director1,sooraj r. barjatya
60,tt0265452,actor1,sunil shetty,director1,naeem sha
61,tt0265452,actor2,raveena tandon,director1,naeem sha
62,tt0265452,actor3,danny denzongpa,director1,naeem sha
63,tt0265452,actor4,sadashiv amrapurkar,director1,naeem sha
64,tt0267363,actor1,tabu,director1,madhur bhandarkar
65,tt0267363,actor2,atul kulkarni,director1,madhur bhandarkar
66,tt0267363,actor3,rajpal yadav,director1,madhur bhandarkar
67,tt0267363,actor4,shri vallabh vyas,director1,madhur bhandarkar
68,tt0271604,actor1,kajol,director1,rahul rawail
69,tt0271604,actor2,rishi kapoor,director1,rahul rawail
70,tt0271604,actor3,rati agnihotri,director1,rahul rawail
71,tt0271604,actor4,sunil shetty,director1,rahul rawail
72,tt0272543,actor1,dev anand,director1,dev anand
73,tt0272543,actor2,hema malini,director1,dev anand
74,tt0272543,actor3,shammi kapoor,director1,dev anand
75,tt0272543,actor4,rekha,director1,dev anand
76,tt0272607,actor1,sunny deol,director1,raj kanwar
77,tt0272607,actor2,preity zinta,director1,raj kanwar
78,tt0272607,actor3,jackie shroff,director1,raj kanwar
79,tt0272607,actor4,om puri,director1,raj kanwar
80,tt0272735,actor1,rekha,director1,harry baweja
81,tt0272735,actor2,naseeruddin shah,director1,harry baweja
82,tt0272735,actor3,arshad warsi,director1,harry baweja
83,tt0272735,actor4,suman ranganathan,director1,harry baweja
84,tt0272736,actor1,rani mukerji,director1,kunal kohli
85,tt0272736,actor2,hrithik roshan,director1,kunal kohli
86,tt0272736,actor3,kareena kapoor,director1,kunal kohli
87,tt0272736,actor4,uday chopra,director1,kunal kohli
88,tt0273164,actor1,raveena tandon,director1,kalpana lajmi
89,tt0273164,actor2,sayaji shinde,director1,kalpana lajmi
90,tt0273164,actor3,sanjay suri,director1,kalpana lajmi
91,tt0273164,actor4,raima sen,director1,kalpana lajmi
92,tt0273406,actor1,bobby deol,director1,indra kumar
93,tt0273406,actor2,rahul dev,director1,indra kumar
94,tt0273406,actor3,dinesh hingoo,director1,indra kumar
95,tt0273406,actor4,vrajesh hirjee,director1,indra kumar
96,tt0273535,actor1,sadashiv amrapurkar,director1,rajat rawail
97,tt0273535,actor2,vinay anand,director1,rajat rawail
98,tt0273535,actor3,pooja batra,director1,rajat rawail
99,tt0273535,actor4,govinda,director1,rajat rawail
100,tt0274019,actor1,rani mukerji,director1,kirti kumar
101,tt0274019,actor2,govinda,director1,kirti kumar
102,tt0274019,actor3,om puri,director1,kirti kumar
103,tt0274019,actor4,laxmikant berde,director1,kirti kumar
104,tt0275381,actor1,jackie shroff,director1,shashilal k. nair
105,tt0275381,actor2,manisha koirala,director1,shashilal k. nair
106,tt0275381,actor3,anupama verma,director1,shashilal k. nair
107,tt0275381,actor4,prasad purandhare,director1,shashilal k. nair
108,tt0277981,actor1,neha,director1,prakash jha
109,tt0277981,actor2,rajeshwari sachdev,director1,prakash jha
110,tt0277981,actor3,gulshan grover,director1,prakash jha
111,tt0277981,actor4,nina kulkarni,director1,prakash jha
112,tt0278291,actor1,akshay kumar,director1,abbas alibhai burmawalla
113,tt0278291,actor1,akshay kumar,director2,mastan alibhai burmawalla
114,tt0278291,actor2,bobby deol,director1,abbas alibhai burmawalla
115,tt0278291,actor2,bobby deol,director2,mastan alibhai burmawalla
116,tt0278291,actor3,kareena kapoor,director1,abbas alibhai burmawalla
117,tt0278291,actor3,kareena kapoor,director2,mastan alibhai burmawalla
118,tt0278291,actor4,bipasha basu,director1,abbas alibhai burmawalla
119,tt0278291,actor4,bipasha basu,director2,mastan alibhai burmawalla
120,tt0278522,actor1,sanjay dutt,director1,david dhawan
121,tt0278522,actor2,govinda,director1,david dhawan
122,tt0278522,actor3,twinkle khanna,director1,david dhawan
123,tt0278522,actor4,monica bedi,director1,david dhawan
124,tt0279021,actor1,tinnu anand,director1,aziz sejawal
125,tt0279021,actor2,raj babbar,director1,aziz sejawal
126,tt0279021,actor3,laxmikant berde,director1,aziz sejawal
127,tt0279021,actor4,avtar gill,director1,aziz sejawal
128,tt0280720,actor1,jimi mistry,director1,daisy von scherler mayer
129,tt0280720,actor2,heather graham,director1,daisy von scherler mayer
130,tt0280720,actor3,marisa tomei,director1,daisy von scherler mayer
131,tt0280720,actor4,michael mckean,director1,daisy von scherler mayer
132,tt0281102,actor1,fardeen khan,director1,rajat mukherjee
133,tt0281102,actor2,ravi baswani,director1,rajat mukherjee
134,tt0281102,actor3,kannu gill,director1,rajat mukherjee
135,tt0281102,actor4,sonali kulkarni,director1,rajat mukherjee
136,tt0283911,actor1,rani mukerji,director1,goldie behl
137,tt0283911,actor2,abhishek bachchan,director1,goldie behl
138,tt0283911,actor3,sushmita sen,director1,goldie behl
139,tt0283911,actor4,jackie shroff,director1,goldie behl
140,tt0284137,actor1,sunny deol,director1,anil sharma
141,tt0284137,actor2,ameesha patel,director1,anil sharma
142,tt0284137,actor3,amrish puri,director1,anil sharma
143,tt0284137,actor4,lillete dubey,director1,anil sharma
144,tt0284328,actor1,tusshar kapoor,director1,satish kaushik
145,tt0284328,actor2,kareena kapoor,director1,satish kaushik
146,tt0284328,actor3,amrish puri,director1,satish kaushik
147,tt0284328,actor4,rinke khanna,director1,satish kaushik
148,tt0285319,actor1,karan nath,director1,joy augustine
149,tt0285319,actor2,aarti agarwal,director1,joy augustine
150,tt0285319,actor3,vilas ujawane,director1,joy augustine
151,tt0285319,actor4,bharat dabholkar,director1,joy augustine
152,tt0287537,actor1,saif ali khan,director1,eeshwar nivas
153,tt0287537,actor2,fardeen khan,director1,eeshwar nivas
154,tt0287537,actor3,aftab shivdasani,director1,eeshwar nivas
155,tt0287537,actor4,sonali bendre,director1,eeshwar nivas
156,tt0288273,actor1,puru rajkumar,director1,rajan johri
157,tt0288273,actor2,dipti bhatnagar,director1,rajan johri
158,tt0288273,actor3,kanchan,director1,rajan johri
159,tt0288273,actor4,laxmikant berde,director1,rajan johri
160,tt0289845,actor1,amitabh bachchan,director1,rakeysh omprakash mehra
161,tt0289845,actor2,raveena tandon,director1,rakeysh omprakash mehra
162,tt0289845,actor3,manoj bajpayee,director1,rakeysh omprakash mehra
163,tt0289845,actor4,nandita das,director1,rakeysh omprakash mehra
164,tt0290326,actor1,priyanshu chatterjee,director1,anubhav sinha
165,tt0290326,actor2,himanshu malik,director1,anubhav sinha
166,tt0290326,actor3,sandali sinha,director1,anubhav sinha
167,tt0290326,actor4,raqesh vashisth,director1,anubhav sinha
168,tt0291376,actor1,anil kapoor,director1,s. shankar
169,tt0291376,actor2,rani mukerji,director1,s. shankar
170,tt0291376,actor3,amrish puri,director1,s. shankar
171,tt0291376,actor4,johnny lever,director1,s. shankar
172,tt0292490,actor1,aamir khan,director1,farhan akhtar
173,tt0292490,actor2,saif ali khan,director1,farhan akhtar
174,tt0292490,actor3,akshaye khanna,director1,farhan akhtar
175,tt0292490,actor4,preity zinta,director1,farhan akhtar
176,tt0292552,actor1,fardeen khan,director1,ahathian
177,tt0292552,actor1,fardeen khan,director2,sunil kumar agrawal
178,tt0292552,actor2,reema sen,director1,ahathian
179,tt0292552,actor2,reema sen,director2,sunil kumar agrawal
180,tt0292552,actor3,apoorva agnihotri,director1,ahathian
181,tt0292552,actor3,apoorva agnihotri,director2,sunil kumar agrawal
182,tt0292552,actor4,suman ranganathan,director1,ahathian
183,tt0292552,actor4,suman ranganathan,director2,sunil kumar agrawal
184,tt0292740,actor1,ajay devgn,director1,deepak s. shivdasani
185,tt0292740,actor2,madhuri dixit,director1,deepak s. shivdasani
186,tt0292740,actor3,preity zinta,director1,deepak s. shivdasani
187,tt0292740,actor4,vikram gokhale,director1,deepak s. shivdasani
188,tt0293342,actor1,rekha,director1,rajkumar santoshi
189,tt0293342,actor2,anil kapoor,director1,rajkumar santoshi
190,tt0293342,actor3,jackie shroff,director1,rajkumar santoshi
191,tt0293342,actor4,madhuri dixit,director1,rajkumar santoshi
192,tt0294662,actor1,amitabh bachchan,director1,sanjay gupta
193,tt0294662,actor2,sanjay dutt,director1,sanjay gupta
194,tt0294662,actor3,sunil shetty,director1,sanjay gupta
195,tt0294662,actor4,mahesh manjrekar,director1,sanjay gupta
196,tt0295603,actor1,sudhir dalvi,director1,deepak balraj vij
197,tt0295603,actor2,dharmendra,director1,deepak balraj vij
198,tt0295603,actor3,vikram gokhale,director1,deepak balraj vij
199,tt0295603,actor4,rohini hattangadi,director1,deepak balraj vij
200,tt0296535,actor1,neeru bajwa,director1,nisha pahuja
201,tt0296535,actor2,ruby bhatia,director1,nisha pahuja
202,tt0296535,actor3,vekeana dhillon,director1,nisha pahuja
203,tt0296535,actor4,vikram dhillon,director1,nisha pahuja
204,tt0296574,actor1,ajay devgn,director1,ram gopal varma
205,tt0296574,actor2,mohanlal,director1,ram gopal varma
206,tt0296574,actor3,manisha koirala,director1,ram gopal varma
207,tt0296574,actor4,seema biswas,director1,ram gopal varma
208,tt0297983,actor1,sunil shetty,director1,sanjay khanna
209,tt0297983,actor2,mukul dev,director1,sanjay khanna
210,tt0297983,actor3,pooja batra,director1,sanjay khanna
211,tt0297983,actor4,anupama verma,director1,sanjay khanna
212,tt0298606,actor1,sunil shetty,director1,priyadarshan
213,tt0298606,actor2,mahima chaudhry,director1,priyadarshan
214,tt0298606,actor3,paresh rawal,director1,priyadarshan
215,tt0298606,actor4,saurabh shukla,director1,priyadarshan
216,tt0298607,actor1,ameesha patel,director1,tanuja chandra
217,tt0298607,actor2,jimmy shergill,director1,tanuja chandra
218,tt0298607,actor3,nafisa ali,director1,tanuja chandra
219,tt0298607,actor4,gulshan grover,director1,tanuja chandra
220,tt0299108,actor1,madhavan,director1,gautham menon
221,tt0299108,actor2,saif ali khan,director1,gautham menon
222,tt0299108,actor3,dia mirza,director1,gautham menon
223,tt0299108,actor4,vrajesh hirjee,director1,gautham menon
224,tt0300028,actor1,malaika arora,director1,n. maharajan
225,tt0300028,actor2,raj babbar,director1,n. maharajan
226,tt0300028,actor3,rana jung bahadur,director1,n. maharajan
227,tt0300028,actor4,balwant bansal,director1,n. maharajan
228,tt0301179,actor1,arjun rampal,director1,ashu trikha
229,tt0301179,actor2,dia mirza,director1,ashu trikha
230,tt0301179,actor3,vinod khanna,director1,ashu trikha
231,tt0301179,actor4,om puri,director1,ashu trikha
232,tt0301240,actor1,arjun rampal,director1,ashok mehta
233,tt0301240,actor2,manisha koirala,director1,ashok mehta
234,tt0301240,actor3,kalpana pandit,director1,ashok mehta
235,tt0301240,actor4,suresh oberoi,director1,ashok mehta
236,tt0301250,actor1,ajay devgn,director1,mahesh manjrekar
237,tt0301250,actor2,sonali bendre,director1,mahesh manjrekar
238,tt0301250,actor3,namrata shirodkar,director1,mahesh manjrekar
239,tt0301250,actor4,prem chopra,director1,mahesh manjrekar
240,tt0302524,actor1,anand raj anand,director1,mahesh manjrekar
241,tt0302524,actor2,sunidhi chauhan,director1,mahesh manjrekar
242,tt0302524,actor3,nagesh haldankar,director1,mahesh manjrekar
243,tt0302524,actor4,shakti kapoor,director1,mahesh manjrekar
244,tt0303187,actor1,shailendra gaur,director1,ved rahi
245,tt0303187,actor2,pankaj berry,director1,ved rahi
246,tt0303187,actor3,tom alter,director1,ved rahi
247,tt0303187,actor4,hemant birje,director1,ved rahi
248,tt0305173,actor1,govinda,director1,k. raghavendra rao
249,tt0305173,actor1,govinda,director2,a.s. ravindra babu
250,tt0305173,actor2,juhi chawla,director1,k. raghavendra rao
251,tt0305173,actor2,juhi chawla,director2,a.s. ravindra babu
252,tt0305173,actor3,tabu,director1,k. raghavendra rao
253,tt0305173,actor3,tabu,director2,a.s. ravindra babu
254,tt0305173,actor4,chandrachur singh,director1,k. raghavendra rao
255,tt0305173,actor4,chandrachur singh,director2,a.s. ravindra babu
256,tt0305455,actor1,sanjay dutt,director1,mahesh manjrekar
257,tt0305455,actor2,nandita das,director1,mahesh manjrekar
258,tt0305455,actor3,sachin khedekar,director1,mahesh manjrekar
259,tt0305455,actor4,tanvi hegde,director1,mahesh manjrekar
260,tt0306434,actor1,amitabh bachchan,director1,vipul amrutlal shah
261,tt0306434,actor2,akshay kumar,director1,vipul amrutlal shah
262,tt0306434,actor3,sushmita sen,director1,vipul amrutlal shah
263,tt0306434,actor4,arjun rampal,director1,vipul amrutlal shah
264,tt0306840,actor1,jaya bhaduri,director1,vinay shukla
265,tt0306840,actor2,aftab shivdasani,director1,vinay shukla
266,tt0306840,actor3,sanjay kapoor,director1,vinay shukla
267,tt0306840,actor4,juliet alburque,director1,vinay shukla
268,tt0306855,actor1,sharman joshi,director1,n. chandra
269,tt0306855,actor2,sahil khan,director1,n. chandra
270,tt0306855,actor3,riya sen,director1,n. chandra
271,tt0306855,actor4,shillpi sharma,director1,n. chandra
272,tt0307116,actor1,sunny deol,director1,tinnu verma
273,tt0307116,actor2,tabu,director1,tinnu verma
274,tt0307116,actor3,arbaaz khan,director1,tinnu verma
275,tt0307116,actor4,tinnu verma,director1,tinnu verma
276,tt0307682,actor1,jividha sharma,director1,sandesh kohli
277,tt0307682,actor2,mohan azaad,director1,sandesh kohli
278,tt0307682,actor3,arun bakshi,director1,sandesh kohli
279,tt0307682,actor4,rajat bedi,director1,sandesh kohli
280,tt0307866,actor1,tabu,director1,meghna gulzar
281,tt0307866,actor2,sushmita sen,director1,meghna gulzar
282,tt0307866,actor3,sanjay suri,director1,meghna gulzar
283,tt0307866,actor4,palash sen,director1,meghna gulzar
284,tt0308347,actor1,akshay kumar,director1,dharmesh darshan
285,tt0308347,actor2,karisma kapoor,director1,dharmesh darshan
286,tt0308347,actor3,abhishek bachchan,director1,dharmesh darshan
287,tt0308347,actor4,kader khan,director1,dharmesh darshan
288,tt0309087,actor1,akanksha malhotra,director1,umesh mehra
289,tt0309087,actor2,rahul bhat,director1,umesh mehra
290,tt0309087,actor3,nasir khan,director1,umesh mehra
291,tt0309087,actor4,pinky campbell,director1,umesh mehra
292,tt0310254,actor1,salman khan,director1,pankaj parashar
293,tt0310254,actor2,sushmita sen,director1,pankaj parashar
294,tt0310254,actor3,dia mirza,director1,pankaj parashar
295,tt0310254,actor4,sharat saxena,director1,pankaj parashar
296,tt0311411,actor1,vinod khanna,director1,naresh malhotra
297,tt0311411,actor2,bobby deol,director1,naresh malhotra
298,tt0311411,actor3,ameesha patel,director1,naresh malhotra
299,tt0311411,actor4,rati agnihotri,director1,naresh malhotra
300,tt0312664,actor1,manisha koirala,director1,ujjwal chatterjee
301,tt0312664,actor2,nawab shah,director1,ujjwal chatterjee
302,tt0312664,actor3,vineeta malik,director1,ujjwal chatterjee
303,tt0312664,actor4,prithvi zutshi,director1,ujjwal chatterjee
304,tt0312883,actor1,jackie shroff,director1,k. muralimohana rao
305,tt0312883,actor2,aftab shivdasani,director1,k. muralimohana rao
306,tt0312883,actor3,ameesha patel,director1,k. muralimohana rao
307,tt0312883,actor4,anupama verma,director1,k. muralimohana rao
308,tt0313395,actor1,fardeen khan,director1,mehul kumar
309,tt0313395,actor2,amrita arora,director1,mehul kumar
310,tt0313395,actor3,satish shah,director1,mehul kumar
311,tt0313395,actor4,tiku talsania,director1,mehul kumar
312,tt0313743,actor1,nana patekar,director1,nana patekar
313,tt0313743,actor2,anupama verma,director1,nana patekar
314,tt0313743,actor3,puru rajkumar,director1,nana patekar
315,tt0313743,actor4,nakhul,director1,nana patekar
316,tt0313844,actor1,danny denzongpa,director1,mani shankar
317,tt0313844,actor2,gulshan grover,director1,mani shankar
318,tt0313844,actor3,milind soman,director1,mani shankar
319,tt0313844,actor4,dipannita sharma,director1,mani shankar
320,tt0314006,actor1,vivek oberoi,director1,eeshwar nivas
321,tt0314006,actor2,dia mirza,director1,eeshwar nivas
322,tt0314006,actor3,atul kulkarni,director1,eeshwar nivas
323,tt0314006,actor4,mukesh rishi,director1,eeshwar nivas
324,tt0314008,actor1,j.d. chakravarthi,director1,j.d. chakravarthi
325,tt0314008,actor2,snehal dabi,director1,j.d. chakravarthi
326,tt0314008,actor3,jayaprakash,director1,j.d. chakravarthi
327,tt0314008,actor4,priyanka,director1,j.d. chakravarthi
328,tt0314186,actor1,arjun rampal,director1,bunty soorma
329,tt0314186,actor2,ameesha patel,director1,bunty soorma
330,tt0314186,actor3,bobby deol,director1,bunty soorma
331,tt0314186,actor4,achint kaur,director1,bunty soorma
332,tt0315632,actor1,manoj bajpayee,director1,rajat mukherjee
333,tt0315632,actor2,vivek oberoi,director1,rajat mukherjee
334,tt0315632,actor3,antara mali,director1,rajat mukherjee
335,tt0315632,actor4,sayaji shinde,director1,rajat mukherjee
336,tt0315767,actor1,vinay anand,director1,ajay kashyap
337,tt0315767,actor2,rana jung bahadur,director1,ajay kashyap
338,tt0315767,actor3,rajat bedi,director1,ajay kashyap
