source,target,weight
92,1782,9
1405,1521,8
164,1676,6
73,2379,5
124,1521,5
623,1220,5
1860,526,5
1900,1084,5
124,2417,4
127,25,4
127,1164,4
127,1521,4
427,2379,4
556,556,4
689,1261,4
698,526,4
2205,210,4
37,1113,3
37,1676,3
37,1769,3
92,1469,3
92,1652,3
92,1676,3
124,200,3
124,1853,3
124,2194,3
151,2379,3
204,200,3
294,1469,3
363,1070,3
382,1261,3
427,25,3
427,1164,3
434,25,3
434,1164,3
623,256,3
623,1025,3
954,25,3
954,1164,3
954,1521,3
1102,695,3
1203,348,3
1380,1521,3
1656,1521,3
1695,1028,3
1744,1521,3
1755,783,3
1900,526,3
1900,1114,3
1900,1650,3
1956,1606,3
1971,634,3
1971,944,3
1976,973,3
2065,1261,3
2128,1454,3
2202,1521,3
2205,701,3
2305,1902,3
2396,2008,3
2442,783,3
10,1650,2
28,581,2
37,692,2
37,1782,2
37,1902,2
37,1966,2
73,612,2
73,783,2
86,1113,2
86,1909,2
92,351,2
92,732,2
92,1186,2
92,1521,2
124,25,2
124,238,2
124,573,2
124,1164,2
124,1342,2
124,1583,2
124,1652,2
124,2379,2
152,2379,2
164,270,2
164,944,2
164,1469,2
164,1547,2
164,1652,2
164,1712,2
164,2417,2
168,168,2
172,25,2
172,210,2
172,1164,2
181,783,2
204,1905,2
251,612,2
251,1833,2
261,1110,2
302,40,2
302,905,2
302,1650,2
302,1782,2
306,1632,2
318,852,2
427,1782,2
434,210,2
434,701,2
434,1872,2
434,1891,2
434,2194,2
436,1650,2
493,2174,2
519,1652,2
548,763,2
589,908,2
594,1427,2
611,1872,2
623,60,2
623,739,2
623,1186,2
623,1674,2
623,2379,2
636,2200,2
636,2211,2
639,2485,2
698,730,2
705,950,2
705,1114,2
705,2009,2
745,1712,2
768,639,2
768,1669,2
778,1540,2
813,2009,2
813,2012,2
868,198,2
868,1313,2
868,2284,2
877,907,2
877,1905,2
877,2379,2
916,944,2
928,256,2
928,1220,2
939,1818,2
954,1782,2
954,1944,2
954,2194,2
963,526,2
963,907,2
970,257,2
1027,1011,2
1027,1588,2
1031,1648,2
1038,526,2
1038,1521,2
1038,2379,2
1084,1905,2
1089,2284,2
1130,852,2
1130,1676,2
1130,2012,2
1142,1469,2
1168,2055,2
1195,1837,2
1203,2162,2
1205,1025,2
1214,1676,2
1266,1186,2
1266,1469,2
1266,1676,2
1283,40,2
1328,1910,2
1378,1059,2
1380,348,2
1380,2417,2
1405,1547,2
1408,715,2
1408,1110,2
1421,1351,2
1433,196,2
1503,639,2
1525,639,2
1525,701,2
1525,1669,2
1525,2423,2
1526,1676,2
1527,244,2
1570,196,2
1604,1888,2
1656,468,2
1664,1679,2
1691,378,2
1691,2090,2
1695,1462,2
1695,1909,2
1695,1966,2
1700,1110,2
1701,1606,2
1707,477,2
1751,1028,2
1755,612,2
1755,1676,2
1755,1853,2
1755,1891,2
1829,1084,2
1843,1253,2
1849,25,2
1849,1011,2
1849,1028,2
1849,1164,2
1849,1588,2
1849,2090,2
1849,2159,2
1858,1220,2
1860,200,2
1860,903,2
1862,1818,2
1900,90,2
1900,244,2
1900,270,2
1900,1905,2
1967,1220,2
1971,639,2
1971,2456,2
1976,1454,2
1976,2423,2
1981,1084,2
2003,1253,2
2032,1909,2
2037,546,2
2066,1070,2
2119,810,2
2122,1538,2
2137,1671,2
2147,1454,2
2202,200,2
2202,244,2
2202,732,2
2202,811,2
2202,1084,2
2202,1114,2
2202,2379,2
2205,81,2
2205,732,2
2229,526,2
2250,701,2
2303,1782,2
2303,1833,2
2307,198,2
2356,1586,2
2372,1587,2
2396,1837,2
2407,1676,2
2408,348,2
2442,1007,2
2459,90,2
2479,244,2
1,32,1
1,556,1
4,16,1
5,1371,1
6,1041,1
7,728,1
8,719,1
9,1894,1
10,2,1
10,10,1
10,171,1
10,349,1
10,639,1
10,978,1
10,990,1
10,1028,1
10,1671,1
10,1729,1
10,2361,1
11,691,1
11,1762,1
12,1913,1
14,1806,1
15,1365,1
15,2373,1
17,881,1
18,100,1
18,897,1
18,994,1
18,1679,1
18,1944,1
20,1162,1
21,2468,1
22,90,1
22,226,1
22,783,1
22,897,1
22,950,1
22,1409,1
22,1584,1
22,1955,1
22,2091,1
22,2428,1
24,1600,1
27,810,1
27,1720,1
27,2051,1
27,2351,1
28,257,1
28,565,1
28,779,1
28,1295,1
28,1469,1
28,1659,1
28,1729,1
28,1910,1
28,2047,1
29,1105,1
29,1832,1
30,749,1
31,1832,1
33,1085,1
36,821,1
36,1572,1
37,25,1
37,35,1
37,244,1
37,251,1
37,270,1
37,295,1
37,349,1
37,573,1
37,811,1
37,858,1
37,1164,1
37,1462,1
37,1547,1
37,1671,1
37,1738,1
37,2149,1
37,2277,1
37,2361,1
39,1864,1
44,1559,1
45,571,1
45,1983,1
46,452,1
46,1429,1
46,2261,1
46,2428,1
47,2379,1
47,2404,1
50,202,1
50,1220,1
50,2029,1
51,51,1
51,471,1
51,1648,1
51,1719,1
51,2045,1
52,474,1
52,672,1
52,2159,1
52,2388,1
53,2086,1
53,2227,1
54,1312,1
54,2093,1
55,243,1
55,2174,1
55,2429,1
56,156,1
56,715,1
57,74,1
58,1490,1
61,1253,1
62,270,1
62,1001,1
62,2451,1
63,2379,1
64,64,1
65,1905,1
65,1988,1
65,2463,1
66,1180,1
67,378,1
67,715,1
67,1220,1
67,1909,1
68,2012,1
69,257,1
69,924,1
69,930,1
69,1956,1
69,2159,1
69,2451,1
70,2309,1
71,454,1
72,546,1
73,0,1
73,237,1
73,253,1
73,659,1
73,691,1
73,897,1
73,1416,1
73,1521,1
73,1762,1
73,1778,1
73,1779,1
73,1943,1
73,2211,1
73,2392,1
73,2398,1
76,1670,1
77,1627,1
77,1634,1
80,196,1
80,1801,1
82,2123,1
83,1188,1
83,1648,1
83,1676,1
83,1953,1
84,832,1
85,1586,1
86,349,1
86,545,1
86,811,1
86,1041,1
86,1280,1
86,1652,1
86,1676,1
86,1758,1
86,1769,1
86,1872,1
86,1902,1
86,2417,1
88,964,1
91,16,1
92,25,1
92,75,1
92,92,1
92,144,1
92,200,1
92,202,1
92,244,1
92,526,1
92,535,1
92,544,1
92,811,1
92,878,1
92,901,1
92,991,1
92,1070,1
92,1084,1
92,1113,1
92,1114,1
92,1164,1
92,1454,1
92,1758,1
92,1853,1
92,2124,1
92,2248,1
92,2417,1
92,2423,1
93,1676,1
94,2469,1
99,1685,1
102,2486,1
103,1212,1
106,1212,1
107,2312,1
108,829,1
109,315,1
109,654,1
110,175,1
111,2193,1
112,98,1
113,1001,1
116,192,1
