source,target,weight
ajay devgn,rohit shetty,9
paresh rawal,priyadarshan,8
amitabh bachchan,ram gopal varma,6
aftab shivdasani,vikram bhatt,5
akshay kumar,priyadarshan,5
emraan hashmi,mohit suri,5
salman khan,david dhawan,5
sanjay dutt,mahesh manjrekar,5
akshay kumar,vipul amrutlal shah,4
akshaye khanna,abbas alibhai burmawalla,4
akshaye khanna,mastan alibhai burmawalla,4
akshaye khanna,priyadarshan,4
bipasha basu,vikram bhatt,4
dev anand,dev anand,4
girish karnad,nagesh kukunoor,4
govinda,david dhawan,4
sunny deol,anil sharma,4
abhishek bachchan,mani ratnam,3
abhishek bachchan,ram gopal varma,3
abhishek bachchan,rohan sippy,3
ajay devgn,prakash jha,3
ajay devgn,rajkumar santoshi,3
ajay devgn,ram gopal varma,3
akshay kumar,anees bazmee,3
akshay kumar,sajid khan,3
akshay kumar,suneel darshan,3
ameesha patel,vikram bhatt,3
anil kapoor,anees bazmee,3
arjun rampal,prakash jha,3
atul kulkarni,madhur bhandarkar,3
ayesha takia,nagesh kukunoor,3
bipasha basu,abbas alibhai burmawalla,3
bipasha basu,mastan alibhai burmawalla,3
bobby deol,abbas alibhai burmawalla,3
bobby deol,mastan alibhai burmawalla,3
emraan hashmi,anurag basu,3
emraan hashmi,kunal deshmukh,3
kareena kapoor,abbas alibhai burmawalla,3
kareena kapoor,mastan alibhai burmawalla,3
kareena kapoor,priyadarshan,3
mallika sherawat,govind menon,3
mithun chakraborty,ashu trikha,3
om puri,priyadarshan,3
rajpal yadav,priyadarshan,3
rani mukerji,kunal kohli,3
rimi sen,priyadarshan,3
ritesh deshmukh,indra kumar,3
sanjay dutt,david dhawan,3
sanjay dutt,mani shankar,3
sanjay dutt,rajkumar hirani,3
saurabh shukla,rajat kapoor,3
shah rukh khan,farah khan,3
shah rukh khan,karan johar,3
shahid kapoor,ken ghosh,3
shreyas talpade,nagesh kukunoor,3
sonakshi sinha,prabhudheva,3
sunil shetty,priyadarshan,3
sunny deol,guddu dhanoa,3
uday chopra,sanjay gadhvi,3
vinay pathak,shashant shah,3
vivek oberoi,indra kumar,3
aamir khan,rajkumar hirani,2
abhay deol,dibakar banerjee,2
abhishek bachchan,goldie behl,2
abhishek bachchan,rohit shetty,2
abhishek bachchan,sanjay gadhvi,2
abhishek bachchan,shaad ali,2
aftab shivdasani,eeshwar nivas,2
aftab shivdasani,indra kumar,2
aishwarya rai bachchan,mani ratnam,2
aishwarya rai bachchan,sanjay leela bhansali,2
ajay devgn,ashwani dhir,2
ajay devgn,harry baweja,2
ajay devgn,milan luthria,2
ajay devgn,priyadarshan,2
akshay kumar,abbas alibhai burmawalla,2
akshay kumar,anthony d'souza,2
akshay kumar,dharmesh darshan,2
akshay kumar,mastan alibhai burmawalla,2
akshay kumar,nikhil advani,2
akshay kumar,raj kanwar,2
akshay kumar,rajkumar santoshi,2
akshay kumar,vikram bhatt,2
amin hajee,vikram bhatt,2
amitabh bachchan,apoorva lakhia,2
amitabh bachchan,karan johar,2
amitabh bachchan,prakash jha,2
amitabh bachchan,r. balki,2
amitabh bachchan,rajkumar santoshi,2
amitabh bachchan,ravi chopra,2
amitabh bachchan,vipul amrutlal shah,2
ammtoje mann,ammtoje mann,2
amrish puri,abbas alibhai burmawalla,2
amrish puri,anil sharma,2
amrish puri,mastan alibhai burmawalla,2
amrita rao,indra kumar,2
anil kapoor,sanjay gupta,2
anupam kher,eeshwar nivas,2
anupam kher,sachin yardi,2
anushka sharma,maneesh sharma,2
arshad warsi,abhishek chaubey,2
arshad warsi,kabeer kaushik,2
arshad warsi,rajkumar hirani,2
arshad warsi,rohit shetty,2
arun bakshi,rajesh kumar singh,2
aryan vaid,jay prakash,2
bipasha basu,rohit shetty,2
bobby deol,anil sharma,2
bobby deol,guddu dhanoa,2
bobby deol,samir karnik,2
bobby deol,sangeeth sivan,2
bobby deol,suneel darshan,2
boman irani,rajkumar hirani,2
chitrangda singh,sudhir mishra,2
darshan jariwala,rajkumar santoshi,2
deepika padukone,homi adajania,2
dimple kapadia,kabir sadanand,2
dino morea,pavan kaul,2
dwij yadav,samir karnik,2
emraan hashmi,aditya datt,2
emraan hashmi,hasnain hyderabadwala,2
emraan hashmi,milan luthria,2
emraan hashmi,raksha mistry,2
emraan hashmi,vikram bhatt,2
fardeen khan,sunil kumar agrawal,2
