,actors,movies
0,govinda,Albela
1,aishwarya rai bachchan,Albela
2,jackie shroff,Albela
3,namrata shirodkar,Albela
4,aamir khan,Lagaan: Once Upon a Time in India
5,gracy singh,Lagaan: Once Upon a Time in India
6,rachel shelley,Lagaan: Once Upon a Time in India
7,paul blackthorne,Lagaan: Once Upon a Time in India
8,akshay kumar,Meri Biwi Ka Jawab Nahin
9,sridevi,Meri Biwi Ka Jawab Nahin
10,gulshan grover,Meri Biwi Ka Jawab Nahin
11,laxmikant berde,Meri Biwi Ka Jawab Nahin
12,shah rukh khan,Hum Tumhare Hain Sanam
13,madhuri dixit,Hum Tumhare Hain Sanam
14,salman khan,Hum Tumhare Hain Sanam
15,atul agnihotri,Hum Tumhare Hain Sanam
16,shah rukh khan,One 2 Ka 4
17,juhi chawla,One 2 Ka 4
18,jackie shroff,One 2 Ka 4
19,nirmal pandey,One 2 Ka 4
20,shah rukh khan,Devdas
21,madhuri dixit,Devdas
22,aishwarya rai bachchan,Devdas
23,jackie shroff,Devdas
24,hrithik roshan,Aap Mujhe Achche Lagne Lage
25,ameesha patel,Aap Mujhe Achche Lagne Lage
26,kiran kumar,Aap Mujhe Achche Lagne Lage
27,mukesh tiwari,Aap Mujhe Achche Lagne Lage
28,amitabh bachchan,Kabhi Khushi Kabhie Gham...
29,jaya bhaduri,Kabhi Khushi Kabhie Gham...
30,shah rukh khan,Kabhi Khushi Kabhie Gham...
31,kajol,Kabhi Khushi Kabhie Gham...
32,saif ali khan,Na Tum Jaano Na Hum
33,hrithik roshan,Na Tum Jaano Na Hum
34,esha deol,Na Tum Jaano Na Hum
35,alok nath,Na Tum Jaano Na Hum
36,jackie shroff,Yaadein...
37,hrithik roshan,Yaadein...
38,kareena kapoor,Yaadein...
39,amrish puri,Yaadein...
40,karisma kapoor,Zubeidaa
41,rekha,Zubeidaa
42,manoj bajpayee,Zubeidaa
43,rajit kapoor,Zubeidaa
44,preity zinta,Chori Chori Chupke Chupke
45,salman khan,Chori Chori Chupke Chupke
46,rani mukerji,Chori Chori Chupke Chupke
47,amrish puri,Chori Chori Chupke Chupke
48,hrithik roshan,Main Prem Ki Diwani Hoon
49,kareena kapoor,Main Prem Ki Diwani Hoon
50,abhishek bachchan,Main Prem Ki Diwani Hoon
51,johnny lever,Main Prem Ki Diwani Hoon
52,sunil shetty,Officer
53,raveena tandon,Officer
54,danny denzongpa,Officer
55,sadashiv amrapurkar,Officer
56,tabu,Chandni Bar
57,atul kulkarni,Chandni Bar
58,rajpal yadav,Chandni Bar
59,shri vallabh vyas,Chandni Bar
60,kajol,Kuch Khatti Kuch Meethi
61,rishi kapoor,Kuch Khatti Kuch Meethi
62,rati agnihotri,Kuch Khatti Kuch Meethi
63,sunil shetty,Kuch Khatti Kuch Meethi
64,dev anand,Censor
65,hema malini,Censor
66,shammi kapoor,Censor
67,rekha,Censor
68,sunny deol,Farz
69,preity zinta,Farz
70,jackie shroff,Farz
71,om puri,Farz
72,rekha,Mujhe Meri Biwi Se Bachaao
73,naseeruddin shah,Mujhe Meri Biwi Se Bachaao
74,arshad warsi,Mujhe Meri Biwi Se Bachaao
75,suman ranganathan,Mujhe Meri Biwi Se Bachaao
